ticket_id,query_text,request_type,category,priority,requester_role,department,submitted_at
TCK-518678EB,"printer on 5th floor showing offline, tried restart",Incident,Printer Not Working,P3-Medium,Manager,Design,2025-03-24T17:50:17
TCK-4CE2B78D,Need enterprise license upgrade for WinSCP for 7 users,Service Request,Software License Request,P4-Low,Associate,Finance,2025-07-11T06:28:16
TCK-C14D37D1,"new hire joining HR on for the past 2 days, needs full IT setup",Admin,Employee Onboarding Setup,P2-High,Senior Manager,Legal,2026-03-16T13:57:59
TCK-5F91FAD7,Need a new shared mailbox created for Sales team,Service Request,Distribution List / Mailbox Request,P3-Medium,Team Lead,Customer Support,2025-04-27T15:39:44
TCK-2F93E02B,"forgot my password, need a reset at the earliest",Service Request,Password Reset,P2-High,Associate,Data Science,2025-03-27T08:44:21
TCK-31DD42D9,please prepare laptop + accounts for new Legal joiner,Admin,Employee Onboarding Setup,P3-Medium,Associate,Legal,2025-12-12T18:15:25
TCK-A8E75DFA,requesting network change to allow Outlook traffic through proxy,Change Request,Firewall/Network Change,P3-Medium,Associate,Customer Support,2025-06-27T22:10:26
TCK-E455FB7F,RFC for production release of Postman v21.0 this sprint,Change Request,Application Deployment/Release,P2-High,Senior Associate,Finance,2026-01-03T10:28:35
TCK-A6064836,"employee last working day is this morning, please disable access",Admin,Employee Offboarding/Asset Return,P3-Medium,Senior Manager,Design,2026-01-27T16:57:37
TCK-9863DDC9,Need access removed for a former team member on client SFTP,Service Request,Access/Permission Request,P4-Low,Associate,HR,2025-03-14T14:33:50
TCK-318FB898,"Self-service password reset isnt working, need manual reset",Service Request,Password Reset,P2-High,Senior Associate,Procurement,2026-03-28T07:43:04
TCK-AB18A6C4,"Zoom lost all my unsaved work after crashing, please help",Incident,Application Crash or Error,P2-High,Senior Manager,Procurement,2025-06-04T04:23:07
TCK-9589362D,"New hire joining QA on this morning, needs full IT setup",Admin,Employee Onboarding Setup,P3-Medium,Senior Associate,Procurement,2025-09-11T08:29:52
TCK-F0A967C0,onboarding checklist pending for new associate in Engineering,Admin,Employee Onboarding Setup,P3-Medium,Director,HR,2025-05-03T00:09:11
TCK-3E587A96,"mailbox full error, need cleanup or quota increase at the earliest",Incident,Email/Outlook Issue,P3-Medium,Associate,QA,2026-02-04T14:59:24
TCK-078F140F,"Our team's SAP GUI license renewal is due, please process",Service Request,Software Installation Request,P3-Medium,Associate,Data Science,2026-04-14T14:53:14
TCK-0E090ACC,Laptop overheating and shutting down randomly during submit the deliverable,Incident,Hardware Malfunction,P2-High,Associate,Sales,2026-08-25T21:18:11
TCK-84F79AEC,"Requesting a laptop bag/mouse replacement, old one damaged",Service Request,New Hardware/Peripheral Request,P1-Critical,Team Lead,HR,2026-01-07T07:46:10
TCK-B75557A0,Account shows 'disabled' when trying to sign in to analytics dashboard,Incident,Login/Authentication Failure,P2-High,Senior Manager,DevOps,2026-02-12T17:24:03
TCK-8DDAD0E5,Requesting additional MS Teams seat for new Legal hire,Service Request,Software License Request,P3-Medium,Associate,Procurement,2026-01-21T04:23:57
TCK-69A9F889,Requesting additional Adobe Photoshop seat for new QA hire,Service Request,Software License Request,P3-Medium,Associate,Marketing,2025-04-05T03:21:33
TCK-DCC8CE62,Raising change request to resize compute for analytics dashboard before since last night,Change Request,Server Configuration Change,P2-High,Senior Associate,Sales,2025-08-16T12:08:07
TCK-4BB64DA3,"hello, toner/ink warning on 7th floor printer, needs replacement",Incident,Printer Not Working,P4-Low,Senior Associate,Customer Support,2025-07-16T12:22:05
